district,state,month,normal_temp_c,normal_rainfall_mm,normal_humidity_pct
Andaman Islands,Andaman and Nicobar Islands,1,24,30,78
Andaman Islands,Andaman and Nicobar Islands,2,25,20,76
Andaman Islands,Andaman and Nicobar Islands,3,27,20,75
Andaman Islands,Andaman and Nicobar Islands,4,28,50,78
Andaman Islands,Andaman and Nicobar Islands,5,29,200,82
Andaman Islands,Andaman and Nicobar Islands,6,28,350,88
Andaman Islands,Andaman and Nicobar Islands,7,27,380,90
Andaman Islands,Andaman and Nicobar Islands,8,27,320,88
Andaman Islands,Andaman and Nicobar Islands,9,27,280,86
Andaman Islands,Andaman and Nicobar Islands,10,27,250,85
Andaman Islands,Andaman and Nicobar Islands,11,26,180,82
Andaman Islands,Andaman and Nicobar Islands,12,25,60,80
Nicobar Islands,Andaman and Nicobar Islands,1,24,30,78
Nicobar Islands,Andaman and Nicobar Islands,2,25,20,76
Nicobar Islands,Andaman and Nicobar Islands,3,27,20,75
Nicobar Islands,Andaman and Nicobar Islands,4,28,50,78
Nicobar Islands,Andaman and Nicobar Islands,5,29,200,82
Nicobar Islands,Andaman and Nicobar Islands,6,28,350,88
Nicobar Islands,Andaman and Nicobar Islands,7,27,380,90
Nicobar Islands,Andaman and Nicobar Islands,8,27,320,88
Nicobar Islands,Andaman and Nicobar Islands,9,27,280,86
Nicobar Islands,Andaman and Nicobar Islands,10,27,250,85
Nicobar Islands,Andaman and Nicobar Islands,11,26,180,82
Nicobar Islands,Andaman and Nicobar Islands,12,25,60,80
Adilabad,Andhra Pradesh,1,24,5,65
Adilabad,Andhra Pradesh,2,26,5,60
Adilabad,Andhra Pradesh,3,29,8,58
Adilabad,Andhra Pradesh,4,32,15,55
Adilabad,Andhra Pradesh,5,35,30,55
Adilabad,Andhra Pradesh,6,32,80,70
Adilabad,Andhra Pradesh,7,29,120,80
Adilabad,Andhra Pradesh,8,28,110,82
Adilabad,Andhra Pradesh,9,28,150,80
Adilabad,Andhra Pradesh,10,27,100,75
Adilabad,Andhra Pradesh,11,24,40,68
Adilabad,Andhra Pradesh,12,22,10,65
Anantapur,Andhra Pradesh,1,24,5,65
Anantapur,Andhra Pradesh,2,26,5,60
